treatment,seed,date,avg_market_price,avg_price_increase,total_consumer_payment_increase,avg_load,prompt_profit_minus_compliance,mean_reasoning_profit_minus_compliance
tarj_compliance,5,2020-07-05,36.27205473875,3.562232211249999,521466.96926511,4974.675,-0.1343623918546908,-0.009870481505422
tarj_compliance,5,2020-07-04,40.10848105170833,5.447598019208332,840698.163045349,5193.141666666666,-0.1343623918546908,0.00598676486400042
tarj_compliance,5,2020-07-03,43.26150305325,6.82772376575,1069791.6907499079,5337.145833333333,-0.1343623918546908,-0.004332606212743862
tarj_compliance,5,2020-07-02,41.838277119541665,6.033903537041664,953497.3871918801,5265.720833333334,-0.1343623918546908,-0.0200509199465355
tarj_compliance,5,2020-07-01,40.353561538916665,6.174207883916665,950304.788159791,5157.7625,-0.1343623918546908,-0.0358898098089977
tarj_compliance,1,2020-07-02,45.935756544125006,10.131382961625,1620642.179726496,5265.720833333334,-0.1343623918546908,-0.01782436483483198
tarj_compliance,4,2020-07-07,35.36597615025,5.95672733775,777155.5397438053,4619.287499999999,-0.1343623918546908,-0.01523651829097294
tarj_compliance,4,2020-07-05,38.2336269345,5.523804407,807966.1538344368,4974.675,-0.1343623918546908,-0.01766375924997404
tarj_compliance,4,2020-07-04,42.59730605020834,7.936423017708333,1230195.6576628273,5193.141666666666,-0.1343623918546908,0.0008799564883826598
tarj_compliance,4,2020-07-03,46.1185935565,9.684814269,1510598.7035590822,5337.145833333333,-0.1343623918546908,-0.0038915756600902
tarj_compliance,4,2020-07-02,43.82561128995834,8.021237707458333,1279644.304116405,5265.720833333334,-0.1343623918546908,0.004670414477790441
tarj_compliance,4,2020-07-01,42.122150502208335,7.942796847208332,1229504.4240724756,5157.7625,-0.1343623918546908,-0.03464573690263752
tarj_compliance,3,2020-07-07,33.05275631525,3.643507502750001,473205.4084777015,4619.287499999999,-0.1343623918546908,-0.00387277002657158
tarj_compliance,4,2020-07-06,40.13740912625,7.882391338750001,1132531.795519908,5019.170833333333,-0.1343623918546908,-0.007771929721857302
tarj_compliance,1,2020-07-01,43.502915612,9.323561957,1448767.372730579,5157.7625,-0.1343623918546908,-0.04194350340143664
tarj_compliance,3,2020-07-03,46.732085954625,10.298306667124999,1645132.3993809628,5337.145833333333,-0.1343623918546908,0.00388644910009478
tarj_balanced_profit_compliance,1,2020-07-01,66.61024757497917,32.43089391997916,4954917.990854963,5157.7625,0.0092115060139728,0.02007113101231838
tarj_balanced_profit_compliance,3,2020-07-07,37.852726031708336,8.443477219208333,1086264.4827408965,4619.287499999999,0.0092115060139728,0.03594265108187578
tarj_balanced_profit_compliance,4,2020-07-01,58.671746971625,24.492393316625,3629800.231818616,5157.7625,0.0092115060139728,0.02276273809007796
tarj_balanced_profit_compliance,4,2020-07-02,59.699325480249996,23.89495189775,3701323.790252817,5265.720833333334,0.0092115060139728,0.00982750498645924
tarj_balanced_profit_compliance,4,2020-07-03,60.055098387583335,23.621319100083337,3694987.0556264194,5337.145833333333,0.0092115060139728,0.024814667378702943
tarj_balanced_profit_compliance,4,2020-07-04,57.452358451125,22.791475418624998,3455387.0589869414,5193.141666666666,0.0092115060139728,0.03694546766434328
tarj_balanced_profit_compliance,4,2020-07-05,49.64537918037501,16.935556652875,2436250.123208546,4974.675,0.0092115060139728,0.02726293361300406
