treatment,round,max_firm_regret,total_current_profit
tarj_aggressive_profit_max,162,426448.598948688,2311641.829139892
tarj_aggressive_profit_max,163,379886.2047241381,1562279.0126394096
tarj_aggressive_profit_max,164,404271.02732563816,964184.532662475
tarj_aggressive_profit_max,165,53706.217132223974,538402.4442186989
tarj_aggressive_profit_max,166,43651.35584554802,277758.8766768862
tarj_aggressive_profit_max,167,20814.30005136899,154509.81229045024
tarj_aggressive_profit_max,168,15862.233080142,94369.21102295644
tarj_balanced_profit_compliance,1,24947.684866143005,106721.66723255005
tarj_balanced_profit_compliance,2,21131.227741278595,102178.4727934869
tarj_balanced_profit_compliance,3,18643.317068752192,101625.6037551477
tarj_balanced_profit_compliance,4,18772.2636584868,101654.25855286651
tarj_balanced_profit_compliance,5,20200.7896035858,101971.7087628885
tarj_balanced_profit_compliance,6,19967.322820535996,171701.06113217206
tarj_balanced_profit_compliance,7,27311.966024503505,246146.2378016777
tarj_balanced_profit_compliance,8,63409.61134101904,260552.99279967017
tarj_balanced_profit_compliance,9,130456.29793706708,366490.627069056
tarj_balanced_profit_compliance,10,258991.72883218795,482024.692275024
tarj_balanced_profit_compliance,11,339453.99220201204,685709.6636858638
tarj_balanced_profit_compliance,12,320623.1918304782,1789407.593976618
tarj_balanced_profit_compliance,13,271719.2888513133,3023751.809304495
tarj_balanced_profit_compliance,14,242378.23101257987,4897037.048158021
tarj_balanced_profit_compliance,15,253471.57167414005,5312147.4566769
tarj_balanced_profit_compliance,16,353948.1881731139,4695709.6212561
tarj_balanced_profit_compliance,17,388704.62879126385,2994688.966409436
tarj_balanced_profit_compliance,18,351787.2312638101,1826941.7957488499
tarj_balanced_profit_compliance,19,365551.611397962,604371.5474545199
tarj_balanced_profit_compliance,20,343556.7807081662,482249.700417271
tarj_balanced_profit_compliance,21,246133.3874447656,287744.34282626334
tarj_balanced_profit_compliance,22,136013.28125686804,194314.77142062245
tarj_balanced_profit_compliance,23,44010.8612279226,127071.89149543091
tarj_balanced_profit_compliance,24,32828.66979573959,116970.96547550493
tarj_balanced_profit_compliance,25,17550.574979211007,84760.52824466005
tarj_balanced_profit_compliance,26,14772.671941598996,82996.35231986007
tarj_balanced_profit_compliance,27,13066.025900993998,81186.86695874007
tarj_balanced_profit_compliance,28,12887.635738725,81186.86695874007
tarj_balanced_profit_compliance,29,13303.411235036998,81186.86695874007
